Date,Open,High,Low,Close,Volume
2015-01-15,9691.0,9880.0,9610.0,9868.0,18677.0
2015-01-14,9815.0,9815.0,9670.0,9691.0,22390.0
2015-01-13,9522.0,9838.0,9633.0,9815.0,24756.0
2015-01-12,9511.0,9673.0,9522.0,9522.0,61492.0
2015-01-11,9550.0,9512.0,9491.0,9511.0,922.0
2015-01-08,9432.0,9559.0,9465.0,9550.0,24920.0
2015-01-07,9403.0,9445.0,9337.0,9432.0,20529.0
2015-01-06,9341.0,9443.0,9270.0,9403.0,11633.0
2015-01-05,9606.0,9646.0,9364.0,9369.0,51578.0
2015-01-04,9568.0,9645.0,9568.0,9606.0,4618.0
2015-01-01,9594.0,9600.0,9530.0,9568.0,4016.0
2014-12-31,9673.0,9673.0,9550.0,9594.0,3893.0
2014-12-30,9738.0,9734.0,9643.0,9673.0,278445.0
2014-12-29,9798.0,9798.0,9656.0,9738.0,22342.0
2014-12-28,9783.0,9760.0,9760.0,9760.0,239.0
2014-12-25,9752.0,9790.0,9733.0,9783.0,3337.0
2014-12-24,9767.0,9814.0,9730.0,9752.0,1998.0
2014-12-23,9715.0,9784.0,9728.0,9767.0,4571.0
2014-12-22,9641.0,9776.0,9690.0,9715.0,15399.0
2014-12-21,9642.0,9690.0,9640.0,9641.0,480.0
2014-12-18,9570.0,9655.0,9567.0,9642.0,7514.0
2014-12-17,9157.0,9394.0,9301.0,9394.0,23482.0
2014-12-16,9413.0,9266.0,9080.0,9157.0,26057.0
2014-12-15,9431.0,9541.0,9367.0,9413.0,150002.0
2014-12-14,9715.0,9455.0,9430.0,9431.0,1826.0
2014-12-11,9708.0,9753.0,9650.0,9715.0,14406.0
2014-12-10,9736.0,9764.0,9666.0,9708.0,3619.0
2014-12-09,9921.0,9804.0,9692.0,9700.0,3800.0
2014-12-08,9950.0,9950.0,9892.0,9921.0,6989.0
2014-12-07,9950.0,9950.0,9949.0,9949.0,540.0
2014-12-04,9809.0,9915.0,9745.0,9776.0,13020.0
2014-12-03,9811.0,9835.0,9796.0,9809.0,22910.0
2014-12-02,9799.0,9880.0,9788.0,9811.0,70558.0
2014-12-01,9812.0,9837.0,9775.0,9799.0,53135.0
2014-11-30,9843.0,9815.0,9805.0,9812.0,741.0
2014-11-27,9759.0,9860.0,9795.0,9843.0,31847.0
2014-11-26,9759.0,9791.0,9742.0,9759.0,23001.0
2014-11-25,9669.0,9780.0,9669.0,9759.0,6751.0
2014-11-24,9600.0,9679.0,9584.0,9668.0,11457.0
2014-11-23,9600.0,9600.0,9535.0,9558.0,4405.0
2014-11-20,9380.0,9335.0,9265.0,9298.0,7984.0
2014-11-19,9297.0,9391.0,9316.0,9380.0,4912.0
2014-11-18,9127.0,9298.0,9240.0,9297.0,5378.0
2014-11-17,9110.0,9152.0,9016.0,9127.0,9028.0
2014-11-16,9093.0,9117.0,9090.0,9110.0,1374.0
2014-11-13,9118.0,9176.0,9063.0,9093.0,12857.0
2014-11-12,9234.0,9195.0,9089.0,9118.0,17685.0
2014-11-11,9239.0,9262.0,9210.0,9234.0,6758.0
2014-11-10,9181.0,9203.0,9102.0,9175.0,13632.0
2014-11-09,9177.0,9185.0,9155.0,9181.0,1433.0
2014-11-06,9163.0,9300.0,9159.0,9284.0,20831.0
2014-11-05,9108.0,9189.0,9108.0,9163.0,12894.0
2014-11-04,9146.0,9187.0,9108.0,9124.0,5873.0
2014-11-03,9165.0,9200.0,9083.0,9146.0,11502.0
2014-11-02,9100.0,9170.0,9100.0,9165.0,1806.0
2014-10-30,9013.0,8942.0,8800.0,8918.0,13194.0
2014-10-29,8991.0,9015.0,8991.0,9013.0,5133.0
2014-10-28,8808.0,8936.0,8844.0,8936.0,7457.0
2014-10-27,8893.0,8941.0,8722.0,8808.0,27883.0
2014-10-26,8852.0,8893.0,8865.0,8893.0,2000.0
2014-10-23,8769.0,8889.0,8717.0,8852.0,10454.0
2014-10-22,8787.0,8832.0,8744.0,8811.0,12669.0
2014-10-21,8580.0,8746.0,8532.0,8738.0,25374.0
2014-10-20,8744.0,8744.0,8573.0,8576.0,55771.0
2014-10-19,8697.0,8697.0,8652.0,8692.0,3795.0
2014-10-14,8652.0,8690.0,8594.0,8610.0,9774.0
2014-10-13,8615.0,8738.0,8597.0,8707.0,8293.0
2014-10-12,8670.0,8670.0,8613.0,8615.0,7138.0
2014-10-07,9067.0,9067.0,8983.0,8987.0,19982.0
2014-10-06,9186.0,9230.0,9146.0,9166.0,4855.0
2014-10-05,9205.0,9202.0,9145.0,9186.0,3594.0
2014-10-02,9273.0,9291.0,9178.0,9205.0,16414.0
2014-10-01,9342.0,9375.0,9273.0,9273.0,13660.0
2014-09-30,9291.0,9367.0,9316.0,9342.0,8034.0
2014-09-29,9385.0,9385.0,9277.0,9291.0,15213.0
2014-09-28,9420.0,9458.0,9419.0,9449.0,1209.0
2014-09-23,9675.0,9611.0,9500.0,9516.0,8429.0
2014-09-22,9670.0,9700.0,9640.0,9675.0,4660.0
2014-09-21,9714.0,9714.0,9673.0,9700.0,583.0
2014-09-18,9585.0,9660.0,9578.0,9659.0,15753.0
2014-09-17,9550.0,9578.0,9550.0,9564.0,5451.0
2014-09-16,9560.0,9535.0,9502.0,9512.0,937.0
2014-09-15,9528.0,9570.0,9497.0,9560.0,12714.0
2014-09-14,9571.0,9551.0,9500.0,9545.0,810.0
2014-09-11,9602.0,9630.0,9537.0,9571.0,8552.0
2014-09-10,9621.0,9616.0,9548.0,9602.0,6520.0
2014-09-09,9641.0,9666.0,9603.0,9621.0,15611.0
2014-09-08,9643.0,9665.0,9617.0,9641.0,10647.0
2014-09-07,9655.0,9696.0,9630.0,9643.0,2475.0
2014-09-04,9495.0,9591.0,9440.0,9565.0,19011.0
2014-09-03,9448.0,9548.0,9428.0,9542.0,24879.0
2014-09-02,9423.0,9472.0,9402.0,9448.0,12088.0
2014-09-01,9373.0,9375.0,9325.0,9354.0,13631.0
2014-08-31,9345.0,9352.0,9325.0,9335.0,3002.0
2014-08-28,9429.0,9434.0,9320.0,9345.0,20377.0
2014-08-27,9451.0,9497.0,9401.0,9429.0,59846.0
2014-08-26,9346.0,9451.0,9349.0,9451.0,47217.0
2014-08-25,9276.0,9364.0,9320.0,9346.0,13615.0
2014-08-24,9257.0,9277.0,9275.0,9276.0,615.0
2014-08-21,9225.0,9270.0,9191.0,9257.0,22786.0
2014-08-20,9212.0,9230.0,9150.0,9162.0,18163.0
2014-08-19,9147.0,9240.0,9147.0,9212.0,36151.0
2014-08-18,9047.0,9147.0,9047.0,9111.0,64258.0
2014-08-17,9065.0,9065.0,9002.0,9047.0,23926.0
2014-08-14,9068.0,9160.0,9062.0,9123.0,11008.0
2014-08-13,9005.0,9083.0,9031.0,9068.0,7082.0
2014-08-12,9090.0,9090.0,9000.0,9005.0,9501.0
2014-08-11,9019.0,9080.0,8990.0,9076.0,22792.0
2014-08-10,8990.0,9020.0,8988.0,9019.0,3113.0
2014-08-07,8982.0,9065.0,8973.0,9025.0,16608.0
2014-08-06,9085.0,9028.0,8940.0,8982.0,12360.0
2014-08-04,9098.0,9136.0,9071.0,9085.0,15660.0
2014-08-03,9379.0,9379.0,9075.0,9098.0,454.0
2014-07-31,9570.0,9482.0,9345.0,9379.0,10473.0
2014-07-30,9579.0,9589.0,9534.0,9570.0,10575.0
2014-07-29,9513.0,9579.0,9485.0,9579.0,13409.0
2014-07-28,9580.0,9580.0,9499.0,9513.0,9190.0
2014-07-27,9673.0,9582.0,9536.0,9566.0,748.0
2014-07-24,9662.0,9720.0,9625.0,9673.0,7611.0
2014-07-23,9624.0,9709.0,9662.0,9662.0,7407.0
2014-07-22,9567.0,9630.0,9562.0,9624.0,7856.0
2014-07-21,9625.0,9637.0,9517.0,9526.0,5620.0
2014-07-20,9641.0,9655.0,9625.0,9636.0,625.0
2014-07-17,9770.0,9747.0,9662.0,9674.0,2687.0
2014-07-16,9664.0,9778.0,9708.0,9770.0,7174.0
2014-07-15,9676.0,9692.0,9637.0,9664.0,10150.0
2014-07-14,9585.0,9678.0,9616.0,9672.0,7167.0
2014-07-13,9585.0,9585.0,9585.0,9585.0,867.0
2014-07-10,9691.0,9707.0,9535.0,9550.0,8022.0
2014-07-09,9767.0,9709.0,9680.0,9689.0,2832.0
2014-07-08,9863.0,9826.0,9735.0,9767.0,8881.0
2014-07-07,9920.0,9921.0,9862.0,9863.0,9956.0
2014-07-06,9915.0,9960.0,9920.0,9920.0,919.0
2014-07-03,9830.0,9925.0,9830.0,9915.0,6663.0
2014-07-02,9769.0,9847.0,9811.0,9826.0,7275.0
2014-07-01,9776.0,9781.0,9768.0,9769.0,6526.0
2014-06-30,9732.0,9795.0,9732.0,9774.0,11668.0
2014-06-29,9688.0,9742.0,9688.0,9732.0,2499.0
2014-06-26,9789.0,9811.0,9681.0,9688.0,14750.0
2014-06-25,9800.0,9830.0,9751.0,9789.0,8127.0
2014-06-24,9857.0,9861.0,9826.0,9845.0,5770.0
2014-06-23,9925.0,9885.0,9808.0,9869.0,16751.0
2014-06-22,9935.0,9926.0,9923.0,9925.0,1279.0
2014-06-19,9899.0,9939.0,9899.0,9935.0,5781.0
2014-06-18,9827.0,9868.0,9850.0,9858.0,5140.0
2014-06-17,9822.0,9884.0,9827.0,9827.0,5080.0
2014-06-16,9852.0,9830.0,9793.0,9822.0,10916.0
2014-06-15,9852.0,9852.0,9852.0,9852.0,53.0
2014-06-12,9867.0,9890.0,9820.0,9852.0,2632.0
2014-06-11,9932.0,9940.0,9845.0,9867.0,5959.0
2014-06-10,9912.0,9948.0,9909.0,9932.0,8324.0
2014-06-09,9943.0,9923.0,9906.0,9912.0,12855.0
2014-06-08,9851.0,9957.0,9911.0,9943.0,802.0
2014-06-05,9868.0,9922.0,9827.0,9851.0,18868.0
2014-06-02,9900.0,9902.0,9851.0,9868.0,10319.0
2014-06-01,9820.0,9870.0,9820.0,9821.0,258.0
2014-05-29,9872.0,9872.0,9845.0,9851.0,5756.0
2014-05-28,9847.0,9873.0,9844.0,9846.0,2993.0
2014-05-27,9786.0,9850.0,9810.0,9847.0,6398.0
2014-05-26,9740.0,9786.0,9746.0,9786.0,10426.0
2014-05-25,9638.0,9743.0,9651.0,9740.0,1020.0
2014-05-22,9605.0,9645.0,9624.0,9638.0,7177.0
2014-05-21,9561.0,9608.0,9557.0,9605.0,1792.0
2014-05-20,9565.0,9591.0,9549.0,9561.0,3125.0
2014-05-19,9522.0,9569.0,9472.0,9565.0,6124.0
2014-05-18,9613.0,9613.0,9520.0,9522.0,610.0
2014-05-15,9652.0,9700.0,9613.0,9613.0,15362.0
2014-05-14,9639.0,9673.0,9642.0,9652.0,1829.0
2014-05-13,9717.0,9717.0,9638.0,9639.0,19568.0
2014-05-12,9497.0,9637.0,9519.0,9621.0,8010.0
2014-05-11,9527.0,9527.0,9497.0,9497.0,785.0
2014-05-08,9464.0,9540.0,9446.0,9485.0,22270.0
2014-05-07,9451.0,9471.0,9345.0,9464.0,12143.0
2014-05-04,9481.0,9540.0,9450.0,9451.0,1897.0
2014-05-01,9531.0,9572.0,9535.0,9550.0,2563.0
2014-04-30,9518.0,9540.0,9508.0,9531.0,3895.0
2014-04-29,9381.0,9520.0,9435.0,9518.0,8341.0
2014-04-28,9323.0,9437.0,9370.0,9381.0,3664.0
2014-04-27,9428.0,9330.0,9320.0,9323.0,352.0
2014-04-24,9526.0,9576.0,9400.0,9428.0,5819.0
2014-04-23,9511.0,9536.0,9509.0,9526.0,627.0
2014-04-22,9250.0,9516.0,9420.0,9511.0,4945.0
2014-04-17,9189.0,9255.0,9247.0,9250.0,1057.0
2014-04-16,9178.0,9215.0,9189.0,9189.0,4200.0
2014-04-13,9456.0,9230.0,9170.0,9178.0,1653.0
2014-04-10,9463.0,9525.0,9395.0,9456.0,8386.0
2014-04-09,9377.0,9482.0,9452.0,9463.0,4526.0
2014-04-08,9486.0,9467.0,9366.0,9377.0,5151.0
2014-04-07,9566.0,9544.0,9486.0,9486.0,7090.0
2014-04-06,9640.0,9589.0,9540.0,9566.0,469.0
2014-04-03,9580.0,9640.0,9552.0,9640.0,5742.0
2014-04-02,9590.0,9590.0,9560.0,9578.0,2877.0
2014-04-01,9542.0,9570.0,9537.0,9570.0,3969.0
2014-03-31,9505.0,9579.0,9518.0,9542.0,7436.0
2014-03-30,9511.0,9511.0,9490.0,9505.0,1009.0
2014-03-27,9421.0,9407.0,9372.0,9378.0,2222.0
2014-03-26,9305.0,9426.0,9358.0,9421.0,3592.0
2014-03-25,9214.0,9307.0,9221.0,9305.0,3033.0
2014-03-24,9289.0,9308.0,9148.0,9214.0,11275.0
2014-03-23,9179.0,,,9179.0,0.0
2014-03-20,9250.0,9196.0,9114.0,9179.0,13172.0
2014-03-19,9228.0,9266.0,9202.0,9250.0,10123.0
2014-03-18,9102.0,9228.0,9072.0,9228.0,14301.0
2014-03-17,9140.0,9121.0,9007.0,9102.0,2989.0
2014-03-13,9102.0,9165.0,9102.0,9140.0,9401.0
2014-03-12,9262.0,9174.0,9097.0,9102.0,8441.0
2014-03-11,9251.0,9263.0,9215.0,9262.0,6184.0
2014-03-10,9250.0,9308.0,9234.0,9251.0,5890.0
2014-03-09,9444.0,9444.0,9342.0,9379.0,1532.0
2014-03-06,9517.0,9550.0,9460.0,9507.0,12946.0
2014-03-05,9539.0,9540.0,9499.0,9517.0,7119.0
2014-03-04,9368.0,9539.0,9393.0,9539.0,8258.0
2014-03-03,9475.0,9475.0,9340.0,9368.0,13770.0
2014-03-02,9475.0,9640.0,9555.0,9571.0,1285.0
2014-02-27,9599.0,9619.0,9466.0,9475.0,4950.0
2014-02-26,9603.0,9658.0,9584.0,9599.0,5137.0
2014-02-25,9650.0,9650.0,9596.0,9603.0,6881.0
2014-02-24,9580.0,9622.0,9558.0,9596.0,8032.0
2014-02-23,9515.0,9580.0,9580.0,9580.0,366.0
2014-02-20,9603.0,9517.0,9465.0,9515.0,6717.0
2014-02-19,9593.0,9608.0,9553.0,9603.0,7218.0
2014-02-18,9619.0,9619.0,9582.0,9593.0,7374.0
2014-02-17,9631.0,9628.0,9602.0,9619.0,10713.0
2014-02-13,9522.0,9475.0,9442.0,9460.0,11161.0
2014-02-12,9374.0,9534.0,9464.0,9522.0,5969.0
2014-02-11,9255.0,9376.0,9282.0,9374.0,6734.0
2014-02-10,9330.0,9292.0,9249.0,9255.0,8538.0
2014-02-09,9128.0,9340.0,9292.0,9330.0,859.0
2014-02-06,9100.0,9190.0,9080.0,9128.0,8873.0
2014-02-05,9076.0,9094.0,9055.0,9094.0,7743.0
2014-02-04,9201.0,9201.0,9035.0,9076.0,8834.0
2014-02-03,9255.0,9275.0,9150.0,9201.0,13598.0
2014-02-02,9252.0,9260.0,9240.0,9255.0,1887.0
2014-01-30,9360.0,9360.0,9239.0,9326.0,6032.0
2014-01-29,9347.0,9482.0,9185.0,9203.0,9583.0
2014-01-28,9370.0,9381.0,9317.0,9347.0,18522.0
2014-01-27,9260.0,9352.0,9260.0,9348.0,12818.0
2014-01-26,9302.0,9325.0,9260.0,9260.0,3096.0
2014-01-23,9681.0,9681.0,9588.0,9602.0,8566.0
2014-01-22,9759.0,9759.0,9648.0,9681.0,13918.0
2014-01-21,9685.0,9724.0,9685.0,9713.0,9676.0
2014-01-20,9685.0,9691.0,9647.0,9663.0,14186.0
2014-01-19,9697.0,9720.0,9650.0,9697.0,1524.0
2014-01-16,9700.0,9700.0,9658.0,9682.0,15933.0
2014-01-15,9424.0,9700.0,9570.0,9657.0,13992.0
2014-01-14,9441.0,9452.0,9362.0,9424.0,18561.0
2014-01-13,9460.0,9476.0,9385.0,9441.0,26951.0
2014-01-12,9475.0,9520.0,9472.0,9502.0,2929.0
2014-01-09,9457.0,9500.0,9418.0,9452.0,10558.0
2014-01-08,9499.0,9499.0,9428.0,9457.0,13553.0
2014-01-07,9400.0,9452.0,9383.0,9442.0,8637.0
2014-01-06,9410.0,9416.0,9361.0,9400.0,36302.0
2014-01-05,9433.0,9390.0,9385.0,9390.0,1623.0
2014-01-02,9570.0,9570.0,9399.0,9433.0,22052.0
2014-01-01,9611.0,9630.0,9611.0,9630.0,2813.0
2013-12-31,9540.0,9590.0,9540.0,9583.0,6704.0
2013-12-30,9550.0,9557.0,9520.0,9534.0,16677.0
2013-12-29,9595.0,9595.0,9527.0,9527.0,2966.0
